-0.88189,-0.27595,-0.0032289,0.44679,-0.88957,-1,-0.7672,-0.52449,-1,-0.056477,0.096387,-0.56329
-0.36269,0.38232,-0.1331,0.043109,1.324,0.43267,-0.27696,-0.63806,-0.19721,0.092068,0.08846,-0.61277
-0.18639,-0.059608,-0.097028,-0.37456,0.43019,-0.3265,0.037765,-0.59555,-0.474,0.28874,-0.12137,-0.36964
0.80626,0.41842,0.50143,-0.30374,-0.36718,0.017624,0.40768,0.07612,-0.11391,-0.17869,0.047992,-0.25259
0.90616,-0.64179,0.34507,-0.14701,-0.40316,2.0821,0.34465,-0.85984,0.59798,-0.38359,-0.14246,-0.10964
0.55236,-0.35024,0.71621,0.020645,-0.13411,0.63004,0.46514,0.22013,0.53664,-0.35112,-0.033385,-0.36556
0.39417,-0.25683,0.50882,-0.13548,-0.4123,-0.53374,0.84391,-0.29169,0.75363,-0.50276,-0.20835,-0.10306
0.1929,-0.046012,-0.27009,-0.012868,-0.55478,-0.2763,0.48045,0.18574,0.85769,-0.25236,-0.072675,-0.019309
-0.41282,-1,-0.42219,0.027582,-0.30649,-0.27326,0.0047455,-0.05927,0.43807,0.0035497,-0.49025,0.30043
0.0421,-0.52575,-0.58892,-0.0040058,0.073163,-0.45865,-0.16211,-0.072359,0.27406,0.38307,0.39226,0.49921
0.14983,0.9319,-0.39593,0.054594,0.40472,-0.18302,-0.25452,0.70277,-0.075657,0.33491,0.27643,0.45218
-0.11639,1.3331,-0.71626,-0.064728,0.40838,-0.31977,-0.46734,1.3853,0.038372,0.32819,0.45962,0.15739
0.024169,0.56552,-0.86842,-0.037692,0.24096,-0.27876,-0.15495,-0.096223,-0.084322,0.14151,0.13343,0.3487
0.43553,-0.068274,-0.94253,-0.047052,-0.16484,-0.79078,-0.087631,0.45655,-0.52528,-0.13233,0.27162,0.48611
-0.14672,-0.72438,-0.35226,-0.13551,-0.27594,-0.41676,-0.2539,0.89044,-0.68108,0.054801,-0.0089131,0.31317
-0.15904,-0.8623,-0.46571,-0.17981,-0.17009,-0.33757,-0.49248,0.38074,-0.25851,-0.10696,-0.50067,0.26825
-0.05634,-0.33579,0.22915,-0.2096,-0.26566,-0.14144,-0.51555,0.36289,-0.10317,0.21089,-0.38331,0.0083237
-0.21053,0.081293,0.23356,-0.026443,-0.18749,-0.06422,-0.41431,-0.11013,-0.22749,-0.053079,-0.00067767,0.087646
-0.29317,-0.085192,0.13965,0.090116,-0.0031654,0.059631,-0.1708,0.33156,0.04888,0.06965,0.16506,-0.0061631
-0.036634,-0.072654,0.64572,0.029269,0.076223,0.1561,-0.13884,-0.0718,-0.020893,0.56488,0.21056,-0.17064
0.1344,0.65156,0.071431,0.099781,0.13177,0.47844,0.15211,0.26115,-0.20218,0.083713,0.04668,0.041298
0.17816,-0.32111,-0.30839,0.12539,0.26528,0.32457,0.13259,-0.45649,-0.15422,0.083567,-0.2924,0.11053
-0.30262,0.43139,0.33771,0.11046,0.26707,0.72135,0.27612,-0.85356,0.11049,-0.29811,0.076593,-0.031506
-0.2848,0.25209,0.51781,0.28382,0.26964,0.10042,0.66012,-0.44105,0.048174,-0.24497,-0.063237,-0.17175
